Дата выдачи,Подразделение,Контракт,Sum of Первоначальная сумма займа,Sum of Ежемесячный платеж,Sum of Кол-во дней просрочки (фактическое),Кредитный продукт
2021-02-17 00:00:00,Тойота Центр Шымкент,10102210142,12189916,324521,11,КАСКО ПВ 30-39.9% 24
2023-02-03 00:00:00,Mycar Astana,10102230389,19760975,396425,58,Easy Flex / ПВ 20%+ / Срок 12м / АСП / 01_23
2019-03-04 00:00:00,Тойота Сити,1010319007,10647549,260998,15,ПВ 40%+ / Срок 54-60 м.-БПД
2021-09-03 00:00:00,Тойота Центр Алматы,10109210327,10382337,72602,541,Отсрочка с вознаграждением-БУ
2021-10-26 00:00:00,Тойота Центр Уральск,10110210092,17150000,570122,4,Tested/Select ПВ 20-39.9% / Срок 12-84 м. БУ/Анн
2021-10-14 00:00:00,Тойота Центр Алматы,10110210159,10436892,264677,137,ПВ 20-39.9% / Срок 12-84
2021-11-02 00:00:00,Тойота Центр Караганда,10111210042,6887280,191994,95,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2022-11-03 00:00:00,Тойота Центр Шымкент,10111220330,21192237,874988,144,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес PS
2023-02-03 00:00:00,Тойота Сити Астана,10202230073,15778425,342881,88,Easy Flex / ПВ 20%+ / Срок 12м / PS / АСП / 01_23
2021-03-31 00:00:00,Тойота Сити,10203210058,3950000,96362,4,ПВ 20%+ / Срок 18-84 м.
2021-04-05 00:00:00,Тойота Центр Қостанай,10204210024,15660628,366933,24,ПВ 20%+ / Срок 18-84 м.
2023-05-12 00:00:00,Тойота Сити,10205230245,6400000,150408,18,Dealer Staff / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2022-06-03 00:00:00,Тойота Центр Алматы,10206220211,12558908,323192,57,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2020-07-03 00:00:00,Тойота Центр Шымкент,10211190052R02,15659162,367773,25,Comfrot 24 ПВ 40-65% БП
2020-11-03 00:00:00,Тойота Центр Шымкент,10211200018,3771744,131369,178,SMART Credit / ПВ 20%+ / Срок 36м / АСП / 05_23
2021-12-06 00:00:00,Тойота Центр Алматы,10212210495,22514920,571773,53,ПВ 20-39.9% / Срок 12-84
2021-12-03 00:00:00,Mycar Raiymbek,10212210511,19327977,23285005,207,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2023-02-27 00:00:00,Тойота Центр Шымкент,10212220205R01,9311628,34138,88,Стандарт с КАСКО / ПВ 20%+ / Срок 12-84м / Без забот / АСП / 11_22
2022-03-04 00:00:00,Тойота Центр Жетісу,10303220288,6837700,171890,25,ПВ 40%+ / Срок 12-84 м / Без забот-Н/А
2019-12-31 00:00:00,Тойота Сити Астана,1030518015R01,7376134,37483,4,Camry 06.16 ПВ 40%+ / Срок 54-60 м.БПД
2022-06-08 00:00:00,Lexus Astana,10306220053,13313267,16549234,23,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-03 00:00:00,Тойота Сити Астана,10306220061,31233031,38824636,28,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-12-30 00:00:00,Тойота Центр Павлодар,10306220202R05,13278363,5389809,28,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-06-06 00:00:00,Тойота Сити Астана,10306220251,13856665,17196914,28,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2021-07-08 00:00:00,Тойота Центр Алматы,10307210111,11603460,237915,98,ПВ 20%+ / Срок 18-84 м.
2021-11-09 00:00:00,Тойота Сити,10311210537,17763314,671465,51,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2021-03-09 00:00:00,Тойота Центр Шымкент,10403210205,8578732,191082,21,ПВ 40-65%.
2023-04-10 00:00:00,Тойота Центр Актобе,10403220451R02,11800083,515723,25,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2019-04-17 00:00:00,Тойота Центр Шымкент,10404190117,12007647,234486,4,Comfrot 24 ПВ 40-65% БП
2022-04-04 00:00:00,Тойота Центр Шымкент,10404220062,4796328,122581,207,Easy c КАСКО ПВ 20%+/ Срок 24 мес-БУ
2022-04-05 00:00:00,Тойота Центр Шымкент,10404220229,12310688,366133,25,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2022-04-05 00:00:00,Тойота Центр Алматы,10404220344,5713327,230368,80,Стандарт с КАСКО ПВ 20% + / Cрок 12-84 мес
2022-05-20 00:00:00,Тойота Центр Жетісу,10405220152,9458034,11813468,42,Отсрочка ПВ 20%+/Срок 12 м/Без забот-БУ
2021-06-07 00:00:00,Тойота Центр Актобе,10406210343,16998293,471718,86,КАСКО ПВ 30-39.9% 36
2022-06-07 00:00:00,Тойота Центр Караганда,10406220011,10327941,280521,74,Easy c КАСКО ПВ 20%+/ Срок 24 мес-БУ
2021-08-17 00:00:00,Тойота Центр Шымкент,10408210010,36330771,1837375,11,ПВ 40%+ / Срок 12-84 м.-Н/А-Повторные
2023-02-01 00:00:00,Тойота Сити Астана,1040918007R02,5235510,128660,15,ПВ 20-39.9% / Срок 54-60 м.-БПД
2021-10-06 00:00:00,Тойота Сити Астана,10410210339,5835626,140936,85,Стандарт с КАСКО ПВ 5-9.99% + / Cрок 12-84 мес
2022-02-04 00:00:00,Тойота Центр Павлодар,10412190018R03,12393731,294649,490,ПВ 20-39.9% / Срок 54-60 м.-БПД
2021-12-07 00:00:00,Тойота Центр Кызылорда,10412210089,15324289,305728,51,ПВ 20%+ / Срок 18-84 м.
2020-05-02 00:00:00,Тойота Сити,10501200017R01,9861900,0,15,ПВ 40%+ / Срок 12-60 м.
2023-01-20 00:00:00,Тойота Центр Шымкент,10501220114R02,10833583,211533,11,Стандарт / ПВ 20%+ / Срок 12-84м / АСП / 11_22
2019-06-18 00:00:00,Тойота Центр Атырау,1050218007R01,12977414,49053,1080,Атырау ПВ 20-39.9% / Срок 54-60 м.
2020-05-27 00:00:00,Тойота Центр Жетісу,10505200179,5716000,139272,2,Camry/Corolla ПВ 40% + / Срок 12-60 мес-БПД
2019-11-08 00:00:00,Тойота Центр Шымкент,10509190103R02,11685972,291488,11,ПВ 20-39.9% / Срок 54-60 м.-БПД
2022-09-06 00:00:00,Тойота Центр Шымкент,10509220116,6766327,199012,267,Easy c КАСКО Toyota/Lexus ПВ 20-50%+/ Срок 36 мес
2020-07-23 00:00:00,Тойота Сити,10510190100R01,11301830,300489,10,Стандарт с КАСКО ПВ 20-39.9% + / Cрок 12-84 мес НА
2022-11-03 00:00:00,Тойота Сити Астана,10510210742R02,8451617,247459,163,Tested/Select ПВ 20-39.9% / Срок 12-84 м. БУ/Анн
2022-10-22 00:00:00,Тойота Центр Уральск,10510220337,22660905,482580,9,Easy с КАСКО ПВ 20-39.9%/ Срок 24 мес
2023-02-10 00:00:00,Mycar Kuldzhinka,10602230343,30252619,586668,51,Easy Flex ПВ 20%+/  Срок 12 мес
2020-03-26 00:00:00,Тойота Центр Астана,10603200121,11153700,271337,10,ПВ 20-39.9% / Срок 12-84- НА-повторные
2023-03-09 00:00:00,Тойота Центр Шымкент,10603230300,18197222,469961,51,Easy с КАСКО/ ПВ 20-65% / Срок 36м / 11_22
2022-10-20 00:00:00,Тойота Центр Атырау,10605190395R01,11414080,176675,10,ПВ 40%+ / Срок 54-60 м.-БПД
2022-09-14 00:00:00,Тойота Центр Алматы,10605220192R01,18503700,344108,46,ПВ 20+% Toyota/Lexus / Срок 12-84-Повторные-Б/У
2022-05-11 00:00:00,Тойота Центр Есиль,10605220218,22601841,28230618,51,Отсрочка ПВ 20%+/Срок 12 м/Без забот-БУ
2019-06-07 00:00:00,Тойота Сити,10606190212,11583953,290565,10,ПВ 20-39.9% / Срок 54-60 м.-БПД
2022-06-09 00:00:00,Тойота Центр Жетісу,10606220340,14663138,18314855,22,Отсрочка ПВ 20%+/Срок 12 м/Без забот-БУ
2022-06-07 00:00:00,Тойота Сити Астана,10606220415,17983907,22343110,25,Отсрочка / ПВ 20%+ / Срок 12м / АСП / 11_22
2022-09-07 00:00:00,Тойота Центр Шымкент,10609220073,11475385,375575,53,Easy c КАСКО Toyota/Lexus ПВ 20-50%+/ Срок 36 мес
2022-09-07 00:00:00,Mycar Raiymbek,10609220495,8888000,243124,115,ПВ 20-39.9% / Срок 12-84
2022-10-07 00:00:00,Тойота Центр Атырау,10610220039,11953714,295967,53,ПВ 20+% Toyota/Lexus / Срок 12-84-Повторные-Б/У
